11@0#-0.002390694509790409#0 0#-0.010214939124608458#0 0#-0.02040971607460485#0 0#-0.015987738360921287#0 0#-0.0036394520709280144#0 0#-0.007092874719859263#0 0#-0.006185290174991023#0 0#-0.016989171374764567#0 0#-0.012482445520581139#0 0#-0.0013773146363155247#0 0#-0.0144459513864185#0 0#-0.010555423661220519#0 0#-0.005805634124843167#0 0#-0.0021925849025831215#0 0#-0.010205671109779506#0 0#-0.012965919619276811#0 0#-0.0372944486679447#0 0#-0.0010904727559974683#0 0#-0.008593518532708035#0 0#-0.015108194687507456#0 0#-0.006344032615219076#0 0#-0.01622755825030758#0 0#-0.03485683930482527#0 0#-0.0010429168362701214#0 0#-0.01460774288465952#0 0#-0.03042219964650675#0 0#-0.007046664856343208#0 0#-0.0010350755153639309#0 0#-0.005111262000339904#0 0#-0.0016291499524171257#0
12@0#-0.0040141360046573255#0 0#-0.013607279289688244#0 0#-0.008011535372937228#0 0#-0.02062327748863927#0 0#-0.009101380529313264#0 0#-0.0034318361322580536#0 0#-0.011361907385829558#0 0#-0.006458506529127974#0 0#-0.0038597109013775587#0 0#-0.005840415787337217#0 0#-0.006291085714466428#0 0#-0.005805634124843167#0 0#-0.010555423661220519#0 0#-0.0028881915162139774#0 0#-0.0029273629817108213#0 0#-0.01756158895581965#0 0#-0.019625173337767792#0 0#-0.004992570584769168#0 0#-0.016109292309186816#0 0#-0.00455096598248412#0 0#-0.004719268260934933#0 0#-0.006094739548291442#0 0#-0.04793714419265091#0 0#-0.00478058937042185#0 0#-0.006084142037643838#0 0#-0.013088692774058198#0 0#-0.0029638789880222878#0 0#-0.006014439854218867#0 0#-0.002902361948414581#0 0#-0.0033225700825203347#0
13@0#-0.0012146303773578225#0 0#-0.015342835837202109#0 0#-0.012264518891373416#0 0#-0.022512565381471197#0 0#-0.009586835746106531#0 0#-0.002853635141339262#0 0#-0.011628320747726661#0 0#-0.010040281071006891#0 0#-0.0037688132247718125#0 0#-0.0027352095090370974#0 0#-0.009462762648462393#0 0#-0.0021925849025831215#0 0#-0.0028881915162139774#0 0#-0.010555423661220519#0 0#-0.0027299547715182075#0 0#-0.0194337883618969#0 0#-0.025309660519061812#0 0#-0.0019727474001396236#0 0#-0.011876209254279502#0 0#-0.00548767506284307#0 0#-0.0021872647358398447#0 0#-0.008417985597931278#0 0#-0.039580765485076025#0 0#-0.001556396539183395#0 0#-0.008342357256196834#0 0#-0.018766988023443523#0 0#-0.0022231469823898813#0 0#-0.0024603049647420492#0 0#-0.0014181746464607358#0 0#-0.0012148937952723327#0
14@0#-0.003006934081784726#0 0#-0.024715806008474197#0 0#-0.0069787643069734#0 0#-0.029534663786365805#0 0#-0.018960121602288948#0 0#-0.0014888483604086182#0 0#-0.018659881870518244#0 0#-0.00535743359849843#0 0#-0.0013365384615384639#0 0#-0.01181258831632699#0 0#-0.005978128781034196#0 0#-0.010205671109779506#0 0#-0.0029273629817108213#0 0#-0.0027299547715182075#0 0#-0.010555423661220519#0 0#-0.028434078695366283#0 0#-0.016173872482030397#0 0#-0.007755286534310609#0 0#-0.019266783558885947#0 0#-0.0025600392397099347#0 0#-0.002882790518660107#0 0#-0.002745377731478889#0 0#-0.048680624106787515#0 0#-0.006717540318295808#0 0#-0.0050252541783922305#0 0#-0.009685710965056566#0 0#-0.0012840048343908752#0 0#-0.009634093386795805#0 0#-0.0017903113762667525#0 0#-0.003683578345729548#0
15@0#-0.022050217069356712#0 0#-0.0020317547403935986#0 0#-0.04500841862619134#0 0#-0.001996763577998179#0 0#-0.004243620429861757#0 0#-0.027089296076637757#0 0#-0.0026632015090520124#0 0#-0.04144592234145664#0 0#-0.027301176387714822#0 0#-0.009828164717312106#0 0#-0.03178486964487685#0 0#-0.012965919619276811#0 0#-0.01756158895581965#0 0#-0.0194337883618969#0 0#-0.028434078695366283#0 0#-0.010555423661220519#0 0#-0.06111934745279789#0 0#-0.010809743379915155#0 0#-0.0032198157753476836#0 0#-0.03764493054335007#0 0#-0.020504308725462547#0 0#-0.030861842672529848#0 0#-0.014751627001711695#0 0#-0.015492175829547362#0 0#-0.03277068472830644#0 0#-0.04891277494179838#0 0#-0.025127867180347322#0 0#-0.014689115277459922#0 0#-0.02279094787634766#0 0#-0.01806530709372269#0
16@0#-0.027828709553479332#0 0#-0.05752882822986447#0 0#-0.008759038799076814#0 0#-0.06262585269549763#0 0#-0.0503554091453446#0 0#-0.01305865104929651#0 0#-0.05157590332103718#0 0#-0.0055568769166817154#0 0#-0.018762472179987208#0 0#-0.03886222147881129#0 0#-0.004031916077021451#0 0#-0.0372944486679447#0 0#-0.019625173337767792#0 0#-0.025309660519061812#0 0#-0.016173872482030397#0 0#-0.06111934745279789#0 0#-0.010555423661220519#0 0#-0.03498563181610818#0 0#-0.05560485175932379#0 0#-0.008917484876669077#0 0#-0.026895668313125475#0 0#-0.014649235621705862#0 0#-0.09298202440336986#0 0#-0.0339124876927819#0 0#-0.005205047981707725#0 0#-0.0022823557186976515#0 0#-0.02043206279255168#0 0#-0.037124839571919074#0 0#-0.023454191645239802#0 0#-0.027595687496498593#0
17@0#-0.0025761871149589193#0 0#-0.007575211721179423#0 0#-0.0185540504045393#0 0#-0.013968949546957389#0 0#-0.00370277448026054#0 0#-0.006429632984844386#0 0#-0.00552172405306843#0 0#-0.015344282165324333#0 0#-0.00994085612968589#0 0#-0.0012604576049148415#0 0#-0.013032814023058063#0 0#-0.0010904727559974683#0 0#-0.004992570584769168#0 0#-0.0019727474001396236#0 0#-0.007755286534310609#0 0#-0.010809743379915155#0 0#-0.03498563181610818#0 0#-0.010555423661220519#0 0#-0.009606808473232146#0 0#-0.012838239941015338#0 0#-0.0057258982152599116#0 0#-0.015297252257489458#0 0#-0.03584533461430312#0 0#-0.0011286828422876736#0 0#-0.012873382465610901#0 0#-0.027717657588264975#0 0#-0.006160220719824953#0 0#-0.0015712991262097971#0 0#-0.004152978856716314#0 0#-0.0020125260223704347#0
18@0#-0.012219650112079516#0 0#-0.0031088546198997148#0 0#-0.039317013719797775#0 0#-0.0021460121139090264#0 0#-0.007694041329385545#0 0#-0.020738336689681558#0 0#-0.0034074239530230217#0 0#-0.03655874171613146#0 0#-0.01829655791641547#0 0#-0.009887185671925243#0 0#-0.027980801437798655#0 0#-0.008593518532708035#0 0#-0.016109292309186816#0 0#-0.011876209254279502#0 0#-0.019266783558885947#0 0#-0.0032198157753476836#0 0#-0.05560485175932379#0 0#-0.009606808473232146#0 0#-0.010555423661220519#0 0#-0.029561257154196365#0 0#-0.011457065481986358#0 0#-0.022636930495031175#0 0#-0.011410489352342344#0 0#-0.010184043850412015#0 0#-0.03305821947584261#0 0#-0.0432004896705172#0 0#-0.01635817576271405#0 0#-0.008870059872096691#0 0#-0.014422511315207855#0 0#-0.011538208220500881#0
19@0#-0.007660523796116926#0 0#-0.034721516779060865#0 0#-0.001568873012006812#0 0#-0.039165411425484124#0 0#-0.02822095567925886#0 0#-0.0017116450569107445#0 0#-0.027882537662283595#0 0#-0.002582123678469548#0 0#-0.0035387199434229045#0 0#-0.016708485737108737#0 0#-0.004358879608339977#0 0#-0.015108194687507456#0 0#-0.00455096598248412#0 0#-0.00548767506284307#0 0#-0.0025600392397099347#0 0#-0.03764493054335007#0 0#-0.008917484876669077#0 0#-0.012838239941015338#0 0#-0.029561257154196365#0 0#-0.010555423661220519#0 0#-0.008451202263083426#0 0#-0.0024315181518151717#0 0#-0.05952063433215573#0 0#-0.011635515154635035#0 0#-0.0029850896387953953#0 0#-0.004770829670057186#0 0#-0.003801702600166562#0 0#-0.014740007840563065#0 0#-0.005745610157820267#0 0#-0.007128004778089696#0
20@0#-0.0014254538247429178#0 0#-0.017952668480181417#0 0#-0.016343783183288507#0 0#-0.02237376107482865#0 0#-0.01297130385113216#0 0#-0.0036686766117145653#0 0#-0.012449662587675171#0 0#-0.01348613956664801#0 0#-0.00377380952380956#0 0#-0.008018176975183346#0 0#-0.010068504099902202#0 0#-0.006344032615219076#0 0#-0.004719268260934933#0 0#-0.0021872647358398447#0 0#-0.002882790518660107#0 0#-0.020504308725462547#0 0#-0.026895668313125475#0 0#-0.0057258982152599116#0 0#-0.011457065481986358#0 0#-0.008451202263083426#0 0#-0.010555423661220519#0 0#-0.007798865069356877#0 0#-0.03838090598828479#0 0#-0.005091801251896592#0 0#-0.011883845905773538#0 0#-0.019772744900818737#0 0#-0.0017202780345303976#0 0#-0.005363361699687667#0 0#-0.0013591671486408582#0 0#-0.0037102605106336304#0
21@0#-0.009453051217638309#0 0#-0.028316137265486614#0 0#-0.006961580833367824#0 0#-0.03246180373244134#0 0#-0.02301824425213212#0 0#-0.002491723103623902#0 0#-0.022260974930041942#0 0#-0.005112978913895822#0 0#-0.0020187028363257606#0 0#-0.018007422296474177#0 0#-0.006273392380804387#0 0#-0.01622755825030758#0 0#-0.006094739548291442#0 0#-0.008417985597931278#0 0#-0.002745377731478889#0 0#-0.030861842672529848#0 0#-0.014649235621705862#0 0#-0.015297252257489458#0 0#-0.022636930495031175#0 0#-0.0024315181518151717#0 0#-0.007798865069356877#0 0#-0.010555423661220519#0 0#-0.05010792851239357#0 0#-0.014845683659907932#0 0#-0.005452913080995974#0 0#-0.008205231102003632#0 0#-0.00432250651141418#0 0#-0.015132888526602854#0 0#-0.006216661445279865#0 0#-0.01118570399369274#0
22@0#-0.04014385220965218#0 0#-0.021971985967216164#0 0#-0.06557896028055797#0 0#-0.015166295640177437#0 0#-0.02890472859276634#0 0#-0.0513629329879397#0 0#-0.0226226624420387#0 0#-0.06551008715166286#0 0#-0.04528838892385158#0 0#-0.03592951191110844#0 0#-0.06659532579168727#0 0#-0.03485683930482527#0 0#-0.04793714419265091#0 0#-0.039580765485076025#0 0#-0.048680624106787515#0 0#-0.014751627001711695#0 0#-0.09298202440336986#0 0#-0.03584533461430312#0 0#-0.011410489352342344#0 0#-0.05952063433215573#0 0#-0.03838090598828479#0 0#-0.05010792851239357#0 0#-0.010555423661220519#0 0#-0.03697634735339231#0 0#-0.06585555623470969#0 0#-0.0750954754539691#0 0#-0.046328524915256665#0 0#-0.03401527044239448#0 0#-0.04341912911408471#0 0#-0.040924420664664965#0
23@0#-0.001948517749728477#0 0#-0.011928798382437798#0 0#-0.01726356111313452#0 0#-0.01860304351669675#0 0#-0.005479223537958341#0 0#-0.005481833338984046#0 0#-0.007821705966719331#0 0#-0.014230756363683818#0 0#-0.009027770900387904#0 0#-0.0015786546931746566#0 0#-0.012361313032582154#0 0#-0.0010429168362701214#0 0#-0.00478058937042185#0 0#-0.001556396539183395#0 0#-0.006717540318295808#0 0#-0.015492175829547362#0 0#-0.0339124876927819#0 0#-0.0011286828422876736#0 0#-0.010184043850412015#0 0#-0.011635515154635035#0 0#-0.005091801251896592#0 0#-0.014845683659907932#0 0#-0.03697634735339231#0 0#-0.010555423661220519#0 0#-0.012012840529973168#0 0#-0.026356013414969164#0 0#-0.005383826808554251#0 0#-0.0009830886882363002#0 0#-0.0029353469245037094#0 0#-0.0013503934688199833#0
24@0#-0.01050474428518419#0 0#-0.026847228925802893#0 0#-0.0029715810886181923#0 0#-0.03574890413914153#0 0#-0.021517248731374682#0 0#-0.00418205844370364#0 0#-0.024907395610900433#0 0#-0.0024657263069287868#0 0#-0.006687213884562704#0 0#-0.01432990952973136#0 0#-0.002777960441336024#0 0#-0.01460774288465952#0 0#-0.006084142037643838#0 0#-0.008342357256196834#0 0#-0.0050252541783922305#0 0#-0.03277068472830644#0 0#-0.005205047981707725#0 0#-0.012873382465610901#0 0#-0.03305821947584261#0 0#-0.0029850896387953953#0 0#-0.011883845905773538#0 0#-0.005452913080995974#0 0#-0.06585555623470969#0 0#-0.012012840529973168#0 0#-0.010555423661220519#0 0#-0.003935784113290046#0 0#-0.0069455044783861275#0 0#-0.015177747646868807#0 0#-0.008740166819427166#0 0#-0.008401975504045667#0
25@0#-0.02108546080505212#0 0#-0.04521757620007068#0 0#-0.004123716387162043#0 0#-0.05031543673307664#0 0#-0.03996646751409115#0 0#-0.007426953900385917#0 0#-0.04023852516476769#0 0#-0.002445499907381701#0 0#-0.012198380171740809#0 0#-0.031399655968292174#0 0#-0.0038105217694386143#0 0#-0.03042219964650675#0 0#-0.013088692774058198#0 0#-0.018766988023443523#0 0#-0.009685710965056566#0 0#-0.04891277494179838#0 0#-0.0022823557186976515#0 0#-0.027717657588264975#0 0#-0.0432004896705172#0 0#-0.004770829670057186#0 0#-0.019772744900818737#0 0#-0.008205231102003632#0 0#-0.0750954754539691#0 0#-0.026356013414969164#0 0#-0.003935784113290046#0 0#-0.010555423661220519#0 0#-0.014121838187103218#0 0#-0.027625241052289987#0 0#-0.016886515939781143#0 0#-0.021292538332925534#0
26@0#-0.0020649359757190637#0 0#-0.022024004276065275#0 0#-0.010718705082015213#0 0#-0.027291438010664963#0 0#-0.015973152567753526#0 0#-0.0016568530448218045#0 0#-0.015773091777469765#0 0#-0.00808822623510569#0 0#-0.0014290164663996665#0 0#-0.008693969879159434#0 0#-0.00739575797394597#0 0#-0.007046664856343208#0 0#-0.0029638789880222878#0 0#-0.0022231469823898813#0 0#-0.0012840048343908752#0 0#-0.025127867180347322#0 0#-0.02043206279255168#0 0#-0.006160220719824953#0 0#-0.01635817576271405#0 0#-0.003801702600166562#0 0#-0.0017202780345303976#0 0#-0.00432250651141418#0 0#-0.046328524915256665#0 0#-0.005383826808554251#0 0#-0.0069455044783861275#0 0#-0.014121838187103218#0 0#-0.010555423661220519#0 0#-0.0063908538579369656#0 0#-0.0010766548380296132#0 0#-0.0033872111405588235#0
27@0#-0.002366290019712947#0 0#-0.01192006704201254#0 0#-0.020587639826528184#0 0#-0.017833572547400426#0 0#-0.005288138540456383#0 0#-0.006864010409712892#0 0#-0.007384292341298193#0 0#-0.01787400115491462#0 0#-0.011541568008418846#0 0#-0.0015427385016011444#0 0#-0.013937729657074552#0 0#-0.0010350755153639309#0 0#-0.006014439854218867#0 0#-0.0024603049647420492#0 0#-0.009634093386795805#0 0#-0.014689115277459922#0 0#-0.037124839571919074#0 0#-0.0015712991262097971#0 0#-0.008870059872096691#0 0#-0.014740007840563065#0 0#-0.005363361699687667#0 0#-0.015132888526602854#0 0#-0.03401527044239448#0 0#-0.0009830886882363002#0 0#-0.015177747646868807#0 0#-0.027625241052289987#0 0#-0.0063908538579369656#0 0#-0.010555423661220519#0 0#-0.00467177093285706#0 0#-0.0017464702271332093#0
28@0#-0.0017399745661547167#0 0#-0.019673968282925693#0 0#-0.013058063385859334#0 0#-0.025007407029584636#0 0#-0.01422296520539541#0 0#-0.0026773434413132745#0 0#-0.014029707796699984#0 0#-0.010231564079690704#0 0#-0.0020545895989974817#0 0#-0.006777914631323597#0 0#-0.008651361569405349#0 0#-0.005111262000339904#0 0#-0.002902361948414581#0 0#-0.0014181746464607358#0 0#-0.0017903113762667525#0 0#-0.02279094787634766#0 0#-0.023454191645239802#0 0#-0.004152978856716314#0 0#-0.014422511315207855#0 0#-0.005745610157820267#0 0#-0.0013591671486408582#0 0#-0.006216661445279865#0 0#-0.04341912911408471#0 0#-0.0029353469245037094#0 0#-0.008740166819427166#0 0#-0.016886515939781143#0 0#-0.0010766548380296132#0 0#-0.00467177093285706#0 0#-0.010555423661220519#0 0#-0.0019225418957842379#0
29@0#-0.0014881064660897565#0 0#-0.014039134196148082#0 0#-0.013262310427275556#0 0#-0.020421247853260393#0 0#-0.0075710948120627465#0 0#-0.003041249926050577#0 0#-0.009156439150200705#0 0#-0.010468315203642779#0 0#-0.0057113243307273#0 0#-0.002161300715108095#0 0#-0.009020880982135139#0 0#-0.0016291499524171257#0 0#-0.0033225700825203347#0 0#-0.0012148937952723327#0 0#-0.003683578345729548#0 0#-0.01806530709372269#0 0#-0.027595687496498593#0 0#-0.0020125260223704347#0 0#-0.011538208220500881#0 0#-0.007128004778089696#0 0#-0.0037102605106336304#0 0#-0.01118570399369274#0 0#-0.040924420664664965#0 0#-0.0013503934688199833#0 0#-0.008401975504045667#0 0#-0.021292538332925534#0 0#-0.0033872111405588235#0 0#-0.0017464702271332093#0 0#-0.0019225418957842379#0 0#-0.010555423661220519#0
